GEOID20,C_TOT15,C_NHS15,C_AIA15,C_ASN15,C_BLK15,C_NHP15,C_WHT15,C_AIW15,C_ASW15,C_BLW15,C_AIB15,C_2OM15,C_HSP15,CVAP_TOT15,CVAP_NHS15,CVAP_AIA15,CVAP_ASN15,CVAP_BLK15,CVAP_NHP15,CVAP_WHT15,CVAP_AIW15,CVAP_ASW15,CVAP_BLW15,CVAP_AIB15,CVAP_2OM15,CVAP_HSP15
150010201001000,52,39,1,12,0,0,9,1,7,0,0,8,3,38,30,1,9,0,0,8,1,6,0,0,8,1
150010201001001,57,54,1,36,0,0,0,1,2,0,0,6,1,46,47,2,32,0,0,0,1,2,0,0,7,0
150010201001002,157,146,4,73,0,0,19,4,3,0,0,19,4,119,112,4,66,0,0,13,4,2,0,0,16,1
150010201001003,7,6,0,3,0,0,5,0,0,0,0,0,0,7,6,0,3,0,0,4,0,0,0,0,0,0
150010201001004,7,7,0,1,0,0,9,0,2,0,0,1,0,7,7,0,1,0,0,8,0,2,0,0,1,0
150010201001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001006,2,2,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0
150010201001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001008,16,17,0,4,0,0,6,0,2,0,0,5,0,12,13,0,4,0,0,5,0,2,0,0,3,0
150010201001009,51,53,1,21,0,0,23,1,17,0,0,10,0,41,41,1,22,0,0,11,1,10,0,0,6,0
150010201001010,80,86,2,57,0,0,12,2,12,0,0,6,0,67,72,2,50,0,0,9,2,10,0,0,5,0
150010201001011,76,79,2,40,0,0,26,2,3,0,0,7,1,70,70,2,40,0,0,15,2,4,0,0,7,0
150010201001012,72,76,2,31,0,0,9,2,5,0,0,12,0,58,62,2,28,0,0,8,2,6,0,0,11,0
150010201001013,59,48,1,23,0,0,21,1,3,0,0,3,2,43,36,1,21,0,0,9,1,2,0,0,3,1
150010201001014,66,63,2,40,0,0,12,2,2,0,0,2,1,53,51,2,32,0,0,9,2,2,0,0,3,0
150010201001015,72,70,2,36,0,0,9,2,8,0,0,12,1,59,59,2,33,0,0,7,2,10,0,0,11,0
150010201001016,13,12,0,4,0,0,6,0,0,0,0,0,0,9,8,0,3,0,0,5,0,0,0,0,0,0
150010201001017,256,208,2,15,3,118,24,1,3,0,0,62,50,135,114,1,13,3,52,16,0,2,0,0,28,25
150010201001018,80,68,1,22,7,3,30,0,0,0,0,10,12,75,64,1,23,7,3,30,0,0,0,0,7,12
150010201001019,118,89,0,6,6,34,19,0,0,0,0,33,31,73,57,0,7,6,18,15,1,0,0,0,15,20
150010201001020,173,157,0,59,10,2,31,0,6,0,0,45,14,144,131,0,59,10,2,27,0,8,0,0,28,11
150010201001021,62,50,0,15,0,0,8,1,5,0,0,22,13,54,43,0,16,0,0,8,1,8,0,0,15,12
150010201001022,221,189,0,76,3,18,24,0,7,0,0,49,32,163,142,0,67,3,9,23,0,7,0,0,28,22
150010201001023,29,28,0,17,0,0,8,0,0,0,0,0,0,24,23,0,16,0,0,6,0,0,0,0,0,0
